1096052364	20230416	202304	2023	2023.2904											AFR	AFRICA	AFR								0	042	042	04	1	1.9	4	1	4	-1.37931034482759	0								4	Hyde Park, Gauteng, South Africa	SF	SF06	77346	-26.1207	28.0379	-1238894	4	Hyde Park, Gauteng, South Africa	SF	SF06	77346	-26.1207	28.0379	-1238894	20230416031500	https://www.groundup.org.za/article/thabo-bester-saga-police-fail-to-collect-evidence/
1096052365	20230416	202304	2023	2023.2904											AFR	AFRICA	AFR								0	090	090	09	2	-2.0	2	1	2	-1.37931034482759	0								4	Hyde Park, Gauteng, South Africa	SF	SF06	77346	-26.1207	28.0379	-1238894	4	Hyde Park, Gauteng, South Africa	SF	SF06	77346	-26.1207	28.0379	-1238894	20230416031500	https://www.groundup.org.za/article/thabo-bester-saga-police-fail-to-collect-evidence/
1096052366	20230416	202304	2023	2023.2904											AUS	VICTORIA	AUS								1	043	043	04	1	2.8	10	1	10	3.95604395604396	0								4	Warrnambool, Victoria, Australia	AS	AS07	5423	-38.3818	142.488	-1608145	4	Warrnambool, Victoria, Australia	AS	AS07	5423	-38.3818	142.488	-1608145	20230416031500	https://www.standard.net.au/story/8160123/whos-who-of-racing-to-attend-charity-fundraiser/
1096052367	20230416	202304	2023	2023.2904											BUS	MANUFACTURER						BUS			0	020	020	02	1	3.0	10	1	10	2.99003322259137	0								1	Cuba	CU	CU		22	-79.5	CU	1	Cuba	CU	CU		22	-79.5	CU	20230416031500	https://www.mdjonline.com/arena/thestreet/huge-amazon-change-affects-many-customers/article_508a0508-b076-56f2-a6ab-93181a8b3280.html
1096052368	20230416	202304	2023	2023.2904											BUS	INDUSTRY						BUS			1	043	043	04	1	2.8	3	1	3	2.78099652375435	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Philippines	RP	RP		13	122	RP	20230416031500	https://business.inquirer.net/396176/in-washington-a-taste-of-home-with-a-twist
1096052369	20230416	202304	2023	2023.2904											BUS	INDUSTRY						BUS			0	043	043	04	1	2.8	10	1	10	0.38659793814433	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20230416031500	https://www.marketwatch.com/press-release/vitrectome-market-offers-the-market-structure-of-this-industry-from-2023-to-2030-and-its-projected-cagr-value-of-53-2023-04-15
1096052370	20230416	202304	2023	2023.2904											BUS	COMPANY						BUS			0	051	051	05	1	3.4	5	1	5	3.87811634349031	0								3	Woodward County, Oklahoma, United States	US	USOK		36.5167	-99.217	1101864	3	Woodward County, Oklahoma, United States	US	USOK		36.5167	-99.217	1101864	20230416031500	https://www.enidnews.com/news/tap-continues-to-move-forward/article_6a300ef7-5e53-52b1-bda6-56d888246401.html
1096052371	20230416	202304	2023	2023.2904											BUS	COMPANY						BUS			0	051	051	05	1	3.4	5	1	5	3.87811634349031	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20230416031500	https://www.enidnews.com/news/tap-continues-to-move-forward/article_6a300ef7-5e53-52b1-bda6-56d888246401.html
1096052372	20230416	202304	2023	2023.2904											CHN	CHINESE	CHN								1	170	170	17	4	-7.0	10	1	10	-6.03588907014682	0								4	Shenzhen, Guangdong, China	CH	CH30	13036	22.2	111.117	-1925267	4	Shenzhen, Guangdong, China	CH	CH30	13036	22.2	111.117	-1925267	20230416031500	https://thefrontierpost.com/china-urges-the-us-to-correct-its-wrongdoings-with-russia-related-sanctions-against-chinese-firms/
1096052373	20230416	202304	2023	2023.2904											COP	PRISON						COP			0	020	020	02	1	3.0	2	1	2	-1.37931034482759	0								4	Mangaung, Limpopo, South Africa	SF	SF09	77355	-24.6657	30.1493	-1256770	4	Mangaung, Limpopo, South Africa	SF	SF09	77355	-24.6657	30.1493	-1256770	20230416031500	https://www.groundup.org.za/article/thabo-bester-saga-police-fail-to-collect-evidence/
1096052374	20230416	202304	2023	2023.2904											COP	PRISON						COP			0	036	036	03	1	4.0	2	1	2	-1.37931034482759	0								4	Mangaung, Limpopo, South Africa	SF	SF09	77355	-24.6657	30.1493	-1256770	4	Mangaung, Limpopo, South Africa	SF	SF09	77355	-24.6657	30.1493	-1256770	20230416031500	https://www.groundup.org.za/article/thabo-bester-saga-police-fail-to-collect-evidence/
